model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet152,36,41,1,0,inception_v3,9,13,1,0,vgg19,4,17,1,0,7629.5,7668.836734693878,334.9426906166203
resnet152,34,46,1,0,inception_v3,1,10,1,0,vgg19,3,11,1,0,14406.5,14908.734693877552,1179.2202071536935
resnet152,16,22,1,0,inception_v3,5,9,1,0,vgg19,2,16,1,0,7791.0,7831.422680412371,259.0712927812166
resnet152,43,48,1,0,inception_v3,6,12,1,0,vgg19,6,14,1,0,11854.0,12034.887755102041,739.6120588559685
resnet152,40,44,1,0,inception_v3,7,11,1,0,vgg19,5,18,1,0,8099.5,8088.428571428572,87.16685852140019
resnet152,11,48,1,0,inception_v3,4,12,1,0,vgg19,14,19,1,0,23297.0,23511.520408163266,701.6494012229812
resnet152,14,27,1,0,inception_v3,8,12,1,0,vgg19,12,17,1,0,8582.0,8850.683673469388,980.1859111136464
resnet152,32,36,1,0,inception_v3,2,6,1,0,vgg19,14,19,1,0,5801.5,5880.1122448979595,335.51844995204914
resnet152,46,51,1,0,inception_v3,9,13,1,0,vgg19,11,17,1,0,7544.0,7582.7959183673465,190.0259895857252
resnet152,14,23,1,0,inception_v3,0,10,1,0,vgg19,3,14,1,0,15091.5,15149.959183673469,446.4361580696468
resnet152,0,35,1,0,inception_v3,5,11,1,0,vgg19,12,18,1,0,21892.5,22093.816326530614,700.1380380942787
resnet152,9,41,1,0,inception_v3,0,11,1,0,vgg19,15,20,1,0,20294.0,20706.836734693876,1203.7074589840454
resnet152,0,31,1,0,inception_v3,7,12,1,0,vgg19,5,20,1,0,19684.5,19936.163265306124,770.8626719842682
resnet152,21,36,1,0,inception_v3,2,12,1,0,vgg19,3,10,1,0,16999.5,17557.76530612245,1300.5426716710033
resnet152,16,49,1,0,inception_v3,2,11,1,0,vgg19,11,20,1,0,21159.0,21487.19387755102,939.3744081770728
resnet152,3,44,1,0,inception_v3,0,8,1,0,vgg19,9,17,1,0,25904.0,26181.561224489797,891.4189796453574
resnet152,18,33,1,0,inception_v3,6,11,1,0,vgg19,6,11,1,0,9938.5,10815.42857142857,2116.337947049679
resnet152,20,28,1,0,inception_v3,6,12,1,0,vgg19,5,21,1,0,11983.5,12038.540816326531,259.38062679875935
resnet152,23,34,1,0,inception_v3,9,13,1,0,vgg19,2,19,1,0,7697.5,8178.867346938776,1749.064692551335
resnet152,30,46,1,0,inception_v3,8,13,1,0,vgg19,5,19,1,0,10611.0,11345.855670103092,1810.9533969633248
resnet152,18,27,1,0,inception_v3,9,13,1,0,vgg19,9,13,1,0,7517.0,7665.5,623.5885327387485
resnet152,21,39,1,0,inception_v3,6,13,1,0,vgg19,14,21,1,0,13753.0,14419.173469387755,1661.5021358576078
resnet152,9,36,1,0,inception_v3,5,10,1,0,vgg19,12,17,1,0,17202.5,17218.918367346938,343.5417769642921
resnet152,46,50,1,0,inception_v3,9,13,1,0,vgg19,8,20,1,0,7756.5,8004.693877551021,602.9942871791399
resnet152,8,44,1,0,inception_v3,9,13,1,0,vgg19,0,19,1,0,22993.5,23171.5,682.1334516928248
resnet152,41,48,1,0,inception_v3,2,6,1,0,vgg19,1,10,1,0,5851.5,6096.377551020408,900.9589960465836
resnet152,31,35,1,0,inception_v3,8,12,1,0,vgg19,10,14,1,0,7728.0,7775.571428571428,385.475243388348
resnet152,47,51,1,0,inception_v3,8,13,1,0,vgg19,9,18,1,0,9769.0,9929.326530612245,855.140432141927
resnet152,12,19,1,0,inception_v3,8,13,1,0,vgg19,5,21,1,0,9855.5,10033.19387755102,939.4911090820117
resnet152,19,45,1,0,inception_v3,1,6,1,0,vgg19,1,9,1,0,16519.5,16618.326530612245,434.431690116823
resnet152,9,27,1,0,inception_v3,2,8,1,0,vgg19,16,21,1,0,11790.5,12372.591836734693,1372.1408108613782
resnet152,16,37,1,0,inception_v3,5,12,1,0,vgg19,15,21,1,0,13481.0,14257.816326530612,1635.3021586048023
resnet152,7,33,1,0,inception_v3,1,5,1,0,vgg19,3,17,1,0,16722.5,16746.0,157.0012348840035
resnet152,8,31,1,0,inception_v3,4,13,1,0,vgg19,7,11,1,0,16051.0,16764.04081632653,1914.66661412163
resnet152,17,28,1,0,inception_v3,3,13,1,0,vgg19,7,15,1,0,17578.5,18013.091836734693,1146.8035086641398
resnet152,29,40,1,0,inception_v3,4,10,1,0,vgg19,4,13,1,0,11085.0,11288.326530612245,764.1739541186085
resnet152,25,50,1,0,inception_v3,7,11,1,0,vgg19,16,21,1,0,16263.0,16400.408163265307,555.4364130239869
resnet152,6,32,1,0,inception_v3,2,6,1,0,vgg19,8,17,1,0,16701.0,16872.14285714286,758.7922331318531
resnet152,30,39,1,0,inception_v3,4,11,1,0,vgg19,10,21,1,0,12422.5,12711.418367346938,913.2154217934649
resnet152,24,49,1,0,inception_v3,3,8,1,0,vgg19,7,14,1,0,16580.0,16531.275510204083,437.94058353431046
resnet152,18,36,1,0,inception_v3,0,7,1,0,vgg19,6,14,1,0,11664.0,11947.510204081633,1070.3987550412398
resnet152,24,40,1,0,inception_v3,5,9,1,0,vgg19,14,19,1,0,10439.5,10857.622448979591,1221.4652919735554
resnet152,37,49,1,0,inception_v3,1,10,1,0,vgg19,7,19,1,0,14548.0,15030.377551020409,1270.804819029056
resnet152,37,48,1,0,inception_v3,0,11,1,0,vgg19,5,17,1,0,16317.0,16427.122448979593,725.1926874878421
resnet152,8,46,1,0,inception_v3,0,6,1,0,vgg19,3,19,1,0,24152.0,24508.275510204083,1641.926436870461
resnet152,34,48,1,0,inception_v3,1,7,1,0,vgg19,15,19,1,0,9668.5,10238.408163265307,1716.990490249387
resnet152,24,37,1,0,inception_v3,6,11,1,0,vgg19,15,21,1,0,10071.5,10443.897959183674,1117.9024955637553
resnet152,42,51,1,0,inception_v3,9,13,1,0,vgg19,5,12,1,0,7622.0,8039.183673469388,1480.391863090605
resnet152,22,45,1,0,inception_v3,2,9,1,0,vgg19,9,19,1,0,14798.0,15182.051020408164,1307.9725889005797
resnet152,9,28,1,0,inception_v3,5,10,1,0,vgg19,1,21,1,0,12627.0,13271.459183673469,1942.5520357507369
resnet152,27,45,1,0,inception_v3,0,8,1,0,vgg19,10,21,1,0,11758.0,12572.377551020409,1953.792740221168
resnet152,20,45,1,0,inception_v3,2,7,1,0,vgg19,7,11,1,0,15734.0,15915.030612244898,858.9387193232627
resnet152,15,34,1,0,inception_v3,5,11,1,0,vgg19,4,21,1,0,12425.0,12768.34693877551,1429.2011262328765
resnet152,31,50,1,0,inception_v3,2,12,1,0,vgg19,15,21,1,0,16981.0,17426.928571428572,1166.0109063269817
resnet152,26,30,1,0,inception_v3,2,8,1,0,vgg19,10,14,1,0,9833.5,10178.612244897959,995.1609410671083
resnet152,17,49,1,0,inception_v3,5,13,1,0,vgg19,7,14,1,0,20258.5,20735.30612244898,1239.6694046477305
resnet152,21,39,1,0,inception_v3,8,12,1,0,vgg19,4,12,1,0,11668.0,11911.173469387755,873.5113403643402
resnet152,19,29,1,0,inception_v3,6,13,1,0,vgg19,3,9,1,0,13794.5,14300.438775510203,1221.495253537576
resnet152,16,50,1,0,inception_v3,4,12,1,0,vgg19,7,12,1,0,21721.5,22202.408163265307,941.2249599535083
resnet152,16,26,1,0,inception_v3,3,12,1,0,vgg19,12,21,1,0,17739.5,17041.918367346938,1249.851294611576
resnet152,20,40,1,0,inception_v3,9,13,1,0,vgg19,16,20,1,0,14841.5,14819.336734693878,1580.9053331316306
resnet152,8,22,1,0,inception_v3,2,12,1,0,vgg19,4,8,1,0,16864.5,18915.70408163265,3395.0221219236096
resnet152,5,35,1,0,inception_v3,6,13,1,0,vgg19,8,16,1,0,22182.0,22301.85714285714,461.8625336612616
resnet152,18,28,1,0,inception_v3,1,9,1,0,vgg19,6,10,1,0,13209.0,14652.958762886597,2627.0420311352173
resnet152,43,51,1,0,inception_v3,6,11,1,0,vgg19,7,16,1,0,10020.0,10049.734693877552,154.11131353537988
resnet152,32,36,1,0,inception_v3,3,7,1,0,vgg19,1,6,1,0,6356.5,6458.959183673469,471.3525245669743
