model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,0,25,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,12,8,16,25104.5,27165.80612244898,2976.023770540091
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,2,1,0,bert,0,12,8,32,24912.0,26864.85714285714,3728.7083937624147
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,16,1,0,bert,1,5,8,64,24967.0,25081.23469387755,443.5980162498753
resnet101,29,31,1,0,resnet152,14,31,1,0,vgg19,0,22,1,0,bert,0,10,8,32,9976.5,10258.357142857143,1182.5040471087493
resnet101,0,35,1,0,resnet152,7,52,1,0,vgg19,0,22,1,0,bert,0,1,8,8,22162.0,23380.95918367347,2115.7176614151103
resnet101,9,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,3,8,64,25120.0,25788.76530612245,2028.5639476774556
resnet101,0,32,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,12,8,8,25121.5,25237.15306122449,332.4868373040124
resnet101,0,35,1,0,resnet152,0,11,1,0,vgg19,18,19,1,0,bert,0,2,8,32,17084.5,18651.367346938776,2256.799279401074
resnet101,0,35,1,0,resnet152,50,51,1,0,vgg19,0,3,1,0,bert,0,12,8,64,17005.5,17437.438775510203,1571.289059172771
resnet101,0,24,1,0,resnet152,0,52,1,0,vgg19,0,3,1,0,bert,0,1,8,64,24766.5,25592.183673469386,1999.162152803727
resnet101,33,33,1,0,resnet152,0,46,1,0,vgg19,0,22,1,0,bert,0,6,8,16,22031.0,22068.29591836735,275.1752765792798
resnet101,13,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,6,8,8,25128.0,27896.428571428572,3778.848558565351
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,7,12,8,8,25172.0,25478.581632653062,924.9631975411227
resnet101,0,5,1,0,resnet152,36,52,1,0,vgg19,0,22,1,0,bert,0,12,8,16,12017.5,12162.061224489797,752.729479774075
resnet101,5,35,1,0,resnet152,32,52,1,0,vgg19,0,22,1,0,bert,3,3,8,64,17964.0,17410.622448979593,1766.4168130583528
resnet101,11,35,1,0,resnet152,0,52,1,0,vgg19,1,14,1,0,bert,0,12,8,64,25156.5,26254.428571428572,2314.804619956386
