model,start,end,bs,model,start,end,bs,median,mean,var
resnet50,1,13,1,vgg19,13,17,1,11182.0,11166.05,302.0581856199232
resnet50,12,17,1,vgg19,1,17,1,4950.0,4999.16,235.72508224624718
resnet50,3,11,1,vgg19,12,20,1,7620.0,7666.22,241.02711797638042
resnet50,10,14,1,vgg19,17,21,1,3848.0,3869.62,50.11183093841214
resnet50,2,12,1,vgg19,11,15,1,9290.0,9297.12,140.59034675254202
resnet50,7,16,1,vgg19,11,16,1,8654.5,8719.95,316.4232410869972
resnet50,12,16,1,vgg19,11,15,1,4085.5,4119.4,143.13175748239803
resnet50,10,15,1,vgg19,16,21,1,4972.0,5023.57,250.29020176587017
resnet50,6,17,1,vgg19,12,16,1,10364.0,10417.75,140.99598398536037
resnet50,0,9,1,vgg19,6,20,1,7816.0,7833.74,105.77113216752481
resnet50,1,16,1,vgg19,10,16,1,14108.5,14050.34,339.6952228100949
resnet50,13,17,1,vgg19,11,16,1,4085.5,4103.9,60.55006193225569
resnet50,11,17,1,vgg19,5,10,1,5836.0,5832.56,60.562087150295596
resnet50,10,16,1,vgg19,10,14,1,5826.0,5838.71,59.36047422317312
resnet50,6,17,1,vgg19,5,11,1,10381.5,10429.73,125.4317228614835
resnet50,8,14,1,vgg19,5,12,1,5854.5,5896.27,327.6718130996317
resnet50,10,16,1,vgg19,14,19,1,5827.0,5841.29,62.47452200697497
resnet50,4,17,1,vgg19,3,10,1,12287.5,12358.59,156.88359346980803
resnet50,9,14,1,vgg19,9,18,1,4796.5,4810.66,176.25618967854717
resnet50,6,10,1,vgg19,9,13,1,4134.5,4164.97,192.16698233567598
resnet50,11,15,1,vgg19,1,17,1,4072.5,4303.26,814.0854576762811
resnet50,9,16,1,vgg19,15,21,1,6736.5,6751.92,60.01961012869044
resnet50,13,17,1,vgg19,4,11,1,4124.5,4138.35,65.14267034747655
resnet50,2,8,1,vgg19,2,21,1,5540.0,5626.57,419.85124163208087
resnet50,1,8,1,vgg19,3,14,1,6478.0,6480.54,85.15661101758336
resnet50,0,7,1,vgg19,9,15,1,5871.5,5882.89,79.61593998691468
resnet50,11,17,1,vgg19,12,20,1,5901.0,5939.55,324.1506864098856
resnet50,7,11,1,vgg19,10,15,1,4117.0,4220.87,512.552683243391
resnet50,3,14,1,vgg19,11,16,1,10238.5,10284.3,138.60941526462045
resnet50,2,16,1,vgg19,15,19,1,12990.0,13051.79,269.8707948259685
resnet50,5,14,1,vgg19,14,20,1,8389.0,8445.99,241.66967103879628
resnet50,1,13,1,vgg19,17,21,1,11054.5,11121.97,570.0359366741714
resnet50,9,17,1,vgg19,16,21,1,7579.0,7590.59,57.20298855829125
resnet50,13,17,1,vgg19,12,20,1,4045.5,4059.23,48.050568154809575
resnet50,4,17,1,vgg19,5,9,1,12214.0,12305.06,287.9924936521784
resnet50,7,11,1,vgg19,3,11,1,4080.5,4117.52,164.00856562996944
resnet50,0,10,1,vgg19,16,21,1,8687.0,8708.88,289.3158578439834
resnet50,5,16,1,vgg19,13,20,1,10391.5,10457.38,361.8688651984307
resnet50,0,8,1,vgg19,10,17,1,6654.5,6663.17,93.67828510385958
resnet50,0,12,1,vgg19,1,13,1,10489.0,10471.62,137.374362964856
resnet50,8,12,1,vgg19,14,21,1,4104.5,4131.11,218.91047919183768
resnet50,2,7,1,vgg19,9,13,1,4609.5,4627.1,91.95536960939258
resnet50,8,15,1,vgg19,8,16,1,6936.5,6966.1,99.68685971581209
resnet50,12,17,1,vgg19,3,12,1,4902.5,4929.49,55.303434793871524
resnet50,6,14,1,vgg19,11,15,1,7559.5,7586.97,96.411561028748
resnet50,10,17,1,vgg19,9,19,1,6637.0,6646.41,73.45435249187075
resnet50,1,10,1,vgg19,5,18,1,8399.5,8397.38,117.82374803069202
resnet50,0,4,1,vgg19,11,16,1,3051.0,3076.67,147.01088769203457
resnet50,3,12,1,vgg19,10,19,1,8501.0,8512.2,112.0108030504201
resnet50,9,16,1,vgg19,1,13,1,6674.5,6720.46,334.0660539474192
resnet50,7,16,1,vgg19,15,19,1,8652.0,8676.67,88.30991507186495
resnet50,10,16,1,vgg19,1,10,1,5803.0,5838.29,170.16011841791834
resnet50,10,14,1,vgg19,4,16,1,3824.5,3911.35,322.5614476344004
resnet50,7,17,1,vgg19,13,21,2,9528.5,9537.19,95.49855443932123
resnet50,7,12,1,vgg19,1,19,2,4995.5,5059.24,325.5911890699747
resnet50,4,10,1,vgg19,13,19,2,6003.5,6033.66,217.2777586408696
resnet50,12,16,1,vgg19,2,8,2,4148.0,4152.96,48.40308254646599
resnet50,12,17,1,vgg19,1,21,2,4997.0,5079.94,431.216669900411
resnet50,6,11,1,vgg19,17,21,2,4965.0,5003.22,197.48288938538445
resnet50,5,15,1,vgg19,12,16,2,9496.0,9542.84,131.8423846871711
resnet50,7,12,1,vgg19,9,13,2,4967.5,5000.95,122.79701747192397
resnet50,1,6,1,vgg19,5,12,2,4738.5,4757.8,173.81858358645087
resnet50,8,13,1,vgg19,17,21,2,5013.0,5049.92,246.9619274301203
resnet50,5,17,1,vgg19,9,14,2,11195.0,11249.75,141.73647201761443
resnet50,1,5,1,vgg19,9,17,2,3790.5,3795.99,71.38914413270409
resnet50,3,9,1,vgg19,10,15,2,5857.5,5885.93,198.9376412346341
resnet50,7,17,1,vgg19,3,18,2,9576.5,9582.48,95.60758128935174
resnet50,8,17,1,vgg19,4,19,2,8727.5,8757.33,277.8755136747389
resnet50,4,15,1,vgg19,12,16,2,10541.5,10590.8,132.14983919778336
resnet50,13,17,1,vgg19,17,21,2,4046.5,4050.02,61.77895758265917
resnet50,4,14,1,vgg19,4,17,2,9426.5,9454.4,110.30729803598673
resnet50,2,11,1,vgg19,2,8,2,8349.5,8370.33,115.61531516196287
resnet50,12,17,1,vgg19,6,13,2,4940.0,4993.48,273.9372001025052
resnet50,7,11,1,vgg19,9,13,2,4080.5,4134.09,322.7811362208145
resnet50,6,11,1,vgg19,2,7,2,4938.0,4960.59,134.50740462889024
resnet50,13,17,1,vgg19,0,21,2,4033.5,4199.46,809.788706021515
resnet50,3,12,1,vgg19,3,9,2,8447.5,8484.38,108.69192978321804
resnet50,13,17,1,vgg19,15,21,2,4101.0,4128.09,83.85703250175264
resnet50,4,17,1,vgg19,13,21,2,12246.5,12309.37,140.73611157055603
resnet50,6,11,1,vgg19,7,17,2,4920.0,4967.33,314.4087484469858
resnet50,4,12,1,vgg19,7,16,2,7665.5,7680.25,101.54362363043776
resnet50,1,16,1,vgg19,7,21,2,13946.5,13944.52,185.19824405215078
resnet50,6,16,1,vgg19,1,11,2,9490.0,9527.75,103.59318269075432
resnet50,13,17,1,vgg19,10,15,2,4048.5,4075.46,51.76338860623404
resnet50,13,17,1,vgg19,6,21,2,4128.0,4197.42,360.9734666149301
resnet50,8,14,1,vgg19,0,11,2,5847.5,5882.87,321.8887278237621
resnet50,10,17,1,vgg19,3,12,2,6752.0,6756.34,69.75288094408718
resnet50,5,11,1,vgg19,16,20,2,5826.5,5840.37,86.38155532288128
resnet50,3,12,1,vgg19,0,16,2,8506.0,8541.94,149.42816468122734
resnet50,5,13,1,vgg19,6,13,2,7553.5,7601.37,291.4474105220357
resnet50,1,9,1,vgg19,2,8,2,7549.0,7563.82,194.27688385394694
resnet50,0,11,1,vgg19,10,20,2,9654.0,9636.66,204.0005990187284
resnet50,3,10,1,vgg19,16,20,2,6712.5,6738.31,114.77479644939477
resnet50,4,13,1,vgg19,16,21,2,8480.0,8528.27,92.46111128469093
resnet50,8,14,1,vgg19,8,21,2,5813.5,5820.65,67.25092936160807
resnet50,0,14,1,vgg19,0,21,2,12207.5,12208.47,298.19525331567576
resnet50,3,13,1,vgg19,7,13,2,9316.5,9362.58,125.27076115359083
resnet50,5,11,1,vgg19,2,6,2,5802.0,5802.58,79.15506048257431
resnet50,0,14,1,vgg19,14,21,2,12232.0,12219.17,175.17899731417577
resnet50,13,17,1,vgg19,7,16,2,4089.5,4123.14,209.55553058795658
resnet50,3,15,1,vgg19,15,19,2,11250.5,11359.6,391.6597247611759
resnet50,1,15,1,vgg19,3,17,2,13131.5,13089.83,185.7993571033011
resnet50,6,17,1,vgg19,7,18,2,10352.0,10394.99,118.84254246691292
resnet50,10,16,1,vgg19,16,20,2,5777.5,5785.36,71.91669069138263
resnet50,3,15,1,vgg19,7,16,2,11282.0,11350.29,159.67487560665265
resnet50,12,16,1,vgg19,8,17,2,4084.5,4096.41,65.63567551263566
resnet50,3,12,1,vgg19,2,18,2,8475.0,8511.77,117.34784659293923
resnet50,1,16,1,vgg19,7,12,2,13958.5,13928.49,179.8471848542534
resnet50,3,14,1,vgg19,11,20,2,10221.5,10302.1,314.7175400259731
