model,start,end,bs,model,start,end,bs,median,mean,var
resnet152,5,45,1,bert,5,10,2,39335.0,40946.2,5002.37882611863
resnet152,11,29,1,bert,7,11,2,19605.0,19826.02,3741.77353932597
resnet152,3,23,1,bert,4,10,2,20468.5,21336.32,3871.5120841345692
resnet152,3,25,1,bert,6,10,2,22896.5,23551.32,4426.832302854943
resnet152,41,51,1,bert,1,9,2,11837.5,12726.52,1954.2845313822654
resnet152,23,30,1,bert,2,6,2,6440.5,7336.52,2048.278303746832
resnet152,4,25,1,bert,6,11,2,23221.5,23361.43,3972.269404899421
resnet152,6,26,1,bert,4,9,2,20555.5,21383.0,4153.959674816308
resnet152,8,49,1,bert,6,10,2,40260.5,41952.85,5031.194681931916
resnet152,7,45,1,bert,5,10,2,37387.5,39324.59,5638.834557060528
resnet152,5,11,1,bert,6,11,2,7596.0,7908.96,916.2999718432823
resnet152,39,44,1,bert,3,7,2,6180.0,6534.54,1214.853064530851
resnet152,39,45,1,bert,0,9,2,13240.0,13323.17,420.1685151222067
resnet152,17,39,1,bert,3,10,2,23087.5,23458.85,4102.346351479845
resnet152,38,47,1,bert,4,11,2,10520.0,11301.92,1784.0393363376268
resnet152,16,20,1,bert,7,11,2,6469.0,6516.9,511.834983173288
resnet152,42,46,1,bert,1,5,2,6179.5,6406.37,944.1237594192831
resnet152,8,41,1,bert,3,7,2,32872.5,34332.73,4958.275324858434
resnet152,31,35,1,bert,7,11,2,6181.5,6338.44,779.4991253362635
resnet152,24,49,1,bert,0,8,2,28884.5,29170.06,4408.003044055211
resnet152,43,51,1,bert,0,5,2,8499.0,9470.87,2399.400740414156
resnet152,30,36,1,bert,3,10,2,10435.5,10649.24,846.7384143878202
resnet152,25,39,1,bert,1,8,2,15368.0,16767.94,3459.5625845473583
resnet152,23,37,1,bert,6,10,2,14172.5,16465.84,3267.424691465742
resnet152,32,39,1,bert,4,9,2,7613.0,8511.17,1861.9867134595781
resnet152,16,22,1,bert,7,11,2,6262.0,6981.88,1950.6572650263295
resnet152,17,26,1,bert,4,10,2,9069.0,10198.48,2246.545710552091
resnet152,31,38,1,bert,3,7,2,6385.5,7179.35,1740.1959279058203
resnet152,7,11,1,bert,5,10,2,7607.0,7690.16,504.7884650029158
resnet152,10,48,1,bert,7,11,2,38967.5,39898.63,5190.94066360809
resnet152,10,30,1,bert,0,8,2,21819.5,22231.08,4308.462929351951
resnet152,42,50,1,bert,3,8,2,7686.5,8740.58,2355.0027905715947
resnet152,43,51,1,bert,3,8,2,7635.5,8419.01,1885.3890394027437
resnet152,31,41,1,bert,4,11,2,10513.5,11612.84,2026.164167682372
resnet152,26,46,1,bert,4,9,2,21430.0,21502.55,3797.245436826542
resnet152,21,26,1,bert,1,11,2,14650.0,14726.72,570.9284557630667
resnet152,30,48,1,bert,0,5,2,17432.5,18791.75,3517.572075665259
resnet152,14,28,1,bert,7,11,2,14498.0,16526.85,3140.998068687722
resnet152,24,41,1,bert,7,11,2,20198.5,20334.12,3544.5166645961763
resnet152,45,51,1,bert,6,11,2,7618.0,8070.91,1295.4667042807391
resnet152,11,24,1,bert,6,11,2,14522.5,16116.56,3270.4038261963915
resnet152,45,49,1,bert,3,7,2,6189.0,6417.06,910.9763643476158
resnet152,5,43,1,bert,2,9,2,41894.0,42642.8,4986.272333116193
resnet152,13,26,1,bert,0,7,2,16150.0,16181.28,2962.3223392466934
resnet152,10,18,1,bert,5,10,2,8459.0,9566.49,2130.1647752932167
resnet152,21,42,1,bert,6,10,2,25043.0,25368.14,3894.8163705622887
resnet152,17,41,1,bert,2,8,2,27397.5,27552.85,4038.5111622354093
resnet152,47,51,1,bert,4,11,2,10443.0,10559.62,847.1433028714798
resnet152,18,51,1,bert,5,9,2,36993.5,37572.72,4118.025087538928
resnet152,35,48,1,bert,6,10,2,13134.0,15151.99,3116.2786765467554
resnet152,28,47,1,bert,5,10,2,23433.5,23730.89,3435.024820565348
resnet152,38,51,1,bert,2,10,2,14268.0,15780.14,3060.590002009417
resnet152,46,51,1,bert,5,10,2,7639.0,8102.67,1293.4216254184093
resnet152,15,32,1,bert,4,11,2,17442.0,19613.42,3552.684385587889
resnet152,24,31,1,bert,4,10,2,9067.5,9453.82,1318.2217065425677
resnet152,4,26,1,bert,0,4,2,25726.0,25952.8,4069.8946521992434
resnet152,19,40,1,bert,2,6,2,20847.5,22784.47,4263.52548357577
resnet152,4,8,1,bert,3,11,2,11847.5,11872.97,170.49794456239053
resnet152,6,43,1,bert,7,11,2,36498.5,37772.45,4923.594957701131
resnet152,1,22,1,bert,4,9,2,21553.0,22633.03,4493.893357557565
resnet152,39,51,1,bert,4,9,2,11111.0,13240.68,3255.18016361614
resnet152,29,48,1,bert,0,11,2,19895.0,20312.98,3984.554840832285
resnet152,8,38,1,bert,2,10,2,30414.0,31259.76,4830.912313673267
resnet152,1,23,1,bert,4,8,2,23096.5,23459.86,4145.871148552497
resnet152,29,41,1,bert,5,9,2,11685.5,13456.85,3399.5152753738294
resnet152,14,41,1,bert,7,11,2,27512.0,28345.0,4541.9334759549265
resnet152,43,51,1,bert,2,11,2,13278.5,13520.93,758.6333799009901
resnet152,21,27,1,bert,1,7,2,9027.0,9321.74,1191.6668881864596
resnet152,30,45,1,bert,3,11,2,14555.5,16274.85,3602.80156926523
resnet152,30,51,1,bert,4,8,2,21450.5,22309.54,4175.63020493913
resnet152,26,34,1,bert,7,11,2,7307.5,8181.97,2086.504979409347
resnet152,42,46,1,bert,5,9,2,6188.5,6361.17,574.6050305209657
