core,bs,duration
26,10,0.09302067756652832
26,11,0.09424471855163574
26,12,0.09183216094970703
26,13,0.09146952629089355
26,14,0.09122228622436523
26,15,0.09737944602966309
26,16,0.09162259101867676
27,1,0.0773310661315918
27,2,0.09176111221313477
27,3,0.08914518356323242
27,4,0.08879590034484863
27,5,0.08957219123840332
27,6,0.09082460403442383
27,7,0.09233880043029785
27,8,0.09054064750671387
27,9,0.0910191535949707
27,10,0.09583425521850586
27,11,0.09478998184204102
27,12,0.0943152904510498
27,13,0.09150195121765137
27,14,0.09073686599731445
27,15,0.09165215492248535
27,16,0.09492111206054688
28,1,0.07909941673278809
28,2,0.09072065353393555
28,3,0.08878159523010254
28,4,0.09086823463439941
28,5,0.09183216094970703
28,6,0.08931779861450195
28,7,0.08963942527770996
28,8,0.09270215034484863
28,9,0.09004616737365723
28,10,0.09012913703918457
28,11,0.09034872055053711
28,12,0.0936880111694336
28,13,0.09197688102722168
28,14,0.09063100814819336
28,15,0.09428787231445312
28,16,0.09398603439331055
29,1,0.07782530784606934
29,2,0.08941268920898438
29,3,0.09013199806213379
29,4,0.08933806419372559
29,5,0.0894620418548584
29,6,0.08965778350830078
29,7,0.09632444381713867
29,8,0.09066486358642578
29,9,0.09350180625915527
29,10,0.09430241584777832
29,11,0.09286308288574219
29,12,0.09077334403991699
29,13,0.0913553237915039
29,14,0.09121203422546387
29,15,0.09128856658935547
29,16,0.09118986129760742
30,1,0.0779123306274414
30,2,0.09220623970031738
30,3,0.08887410163879395
30,4,0.08881354331970215
30,5,0.09315943717956543
30,6,0.0900421142578125
30,7,0.0904383659362793
30,8,0.08961725234985352
30,9,0.0916147232055664
30,10,0.09332966804504395
30,11,0.09058713912963867
30,12,0.09028220176696777
30,13,0.09874439239501953
30,14,0.09089827537536621
30,15,0.0909280776977539
30,16,0.09478282928466797
31,1,0.07807326316833496
31,2,0.08818387985229492
31,3,0.08877348899841309
31,4,0.08848118782043457
31,5,0.08971500396728516
31,6,0.08904290199279785
31,7,0.09000492095947266
31,8,0.09332966804504395
31,9,0.09040093421936035
31,10,0.08993887901306152
31,11,0.09661221504211426
31,12,0.0915377140045166
31,13,0.09053277969360352
31,14,0.09069514274597168
31,15,0.09053754806518555
31,16,0.0905146598815918
32,1,0.07544398307800293
32,2,0.09035563468933105
32,3,0.09517121315002441
32,4,0.08971786499023438
32,5,0.09000253677368164
32,6,0.09397292137145996
32,7,0.09044671058654785
32,8,0.0903475284576416
32,9,0.09029054641723633
32,10,0.09079837799072266
32,11,0.09190607070922852
32,12,0.09521007537841797
32,13,0.0932455062866211
32,14,0.09419822692871094
