model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet152,25,49,1,0,vgg19,12,18,1,0,bert,0,8,1,64,15636.0,16542.469387755104,2192.923261935164
resnet152,11,35,1,0,vgg19,17,21,1,0,bert,7,11,1,8,15451.0,15472.226804123711,223.12132084949084
resnet152,36,49,1,0,vgg19,16,20,1,0,bert,1,6,1,8,8854.0,9914.836734693878,1974.509113336923
resnet152,38,43,1,0,vgg19,2,13,1,0,bert,0,11,1,16,16531.5,16905.908163265307,1412.4307827485954
resnet152,6,21,1,0,vgg19,10,17,1,0,bert,1,10,1,64,13851.5,14126.336734693878,802.1801408950987
resnet152,30,37,1,0,vgg19,3,14,1,0,bert,7,11,1,8,6312.0,6776.285714285715,1264.1579596469644
resnet152,30,37,1,0,vgg19,8,16,1,0,bert,4,8,1,32,6566.0,7334.234693877551,1599.805886190638
resnet152,5,43,1,0,vgg19,16,21,1,0,bert,1,5,1,64,24122.5,26347.367346938776,3576.0710494578425
resnet152,33,42,1,0,vgg19,1,5,1,0,bert,7,11,1,64,6373.5,6485.969387755102,252.8894028687217
resnet152,24,51,1,0,vgg19,11,16,1,0,bert,3,9,1,16,17538.0,17608.816326530614,406.3252780349496
resnet152,46,50,1,0,vgg19,15,20,1,0,bert,3,7,1,16,6299.5,7058.173469387755,1645.6751609034188
resnet152,11,45,1,0,vgg19,11,16,1,0,bert,6,10,1,16,21696.5,23445.5,3070.129127943139
resnet152,46,50,1,0,vgg19,1,10,1,0,bert,7,11,2,32,6633.5,6731.0204081632655,483.751390433942
resnet152,24,28,1,0,vgg19,6,15,1,0,bert,4,8,2,32,6684.5,6960.132653061224,948.1883654004178
resnet152,40,51,1,0,vgg19,3,15,1,0,bert,4,10,2,8,9462.0,10234.663265306122,1842.872502393786
resnet152,7,29,1,0,vgg19,16,20,1,0,bert,1,5,2,16,14302.0,16256.408163265307,2879.335598096195
resnet152,19,45,1,0,vgg19,13,18,1,0,bert,2,8,2,16,16575.0,16618.326530612245,286.21687137447356
resnet152,5,25,1,0,vgg19,3,9,1,0,bert,7,11,2,64,13068.5,13119.173469387755,269.0149463077153
resnet152,1,24,1,0,vgg19,13,19,1,0,bert,2,8,2,32,15113.0,16659.897959183672,2662.5837401406066
resnet152,39,46,1,0,vgg19,3,7,1,0,bert,2,11,2,64,14266.5,14782.816326530612,1418.3476110798413
resnet152,15,51,1,0,vgg19,16,21,1,0,bert,1,10,2,8,23074.0,23998.88775510204,2129.501143473312
resnet152,38,45,1,0,vgg19,8,14,1,0,bert,1,7,2,32,9610.0,10970.92857142857,2382.1018512212777
resnet152,30,37,1,0,vgg19,0,7,1,0,bert,7,11,2,32,6894.5,7096.602040816327,678.946028028316
resnet152,7,42,1,0,vgg19,3,21,1,0,bert,7,11,2,64,22551.5,22788.367346938776,1193.2135514407894
resnet152,32,42,1,0,vgg19,7,12,1,0,bert,5,11,2,32,9430.5,9996.836734693878,1461.1966000359723
resnet152,47,51,1,0,vgg19,1,18,1,0,bert,2,8,2,8,9328.5,10633.92857142857,2250.305671980351
resnet152,34,47,1,0,vgg19,4,20,1,0,bert,2,10,2,64,12623.0,13130.591836734693,1245.15060015896
resnet152,42,48,1,0,vgg19,15,19,1,0,bert,7,11,2,32,6506.5,6622.938775510204,419.785484973479
resnet152,43,47,1,0,vgg19,4,17,1,0,bert,5,10,2,32,8139.0,8164.306122448979,214.82514998145922
resnet152,19,25,1,0,vgg19,11,17,1,0,bert,5,11,2,16,9505.0,9847.275510204081,1013.8691174700182
resnet152,8,34,1,0,vgg19,10,20,1,0,bert,3,9,2,8,17166.5,19252.04081632653,3044.062477295919
resnet152,25,40,1,0,vgg19,5,16,1,0,bert,1,11,2,64,15543.0,15907.632653061224,936.9058431527566
resnet152,5,43,1,0,vgg19,15,19,1,0,bert,3,11,2,64,24061.0,25212.816326530614,2579.7675158145184
resnet152,45,51,1,0,vgg19,10,20,1,0,bert,6,10,2,64,6655.5,7256.091836734694,1664.959962052987
resnet152,7,39,1,0,vgg19,7,12,1,0,bert,6,11,2,16,20389.5,20497.11224489796,663.7614041858695
resnet152,40,49,1,0,vgg19,13,17,1,0,bert,5,10,2,64,8019.0,8368.704081632653,1047.6001945085543
resnet152,17,27,1,0,vgg19,15,21,1,0,bert,4,8,2,64,6744.0,7454.092783505154,1602.3556375940284
resnet152,10,26,1,0,vgg19,9,19,1,0,bert,3,9,2,16,12466.5,12984.408163265307,2498.9940663408606
resnet152,30,43,1,0,vgg19,16,20,1,0,bert,2,8,2,64,9697.5,10769.132653061224,2160.52552959594
resnet152,42,47,1,0,vgg19,11,19,1,0,bert,1,8,2,8,10740.0,10944.244897959185,867.0036727698553
resnet152,45,49,1,0,vgg19,5,10,1,0,bert,0,7,2,32,10984.0,11296.122448979591,1147.84314388571
resnet152,4,13,1,0,vgg19,5,11,1,0,bert,6,11,2,64,8302.5,9078.489795918367,1651.6989413186107
resnet152,21,34,1,0,vgg19,8,19,1,0,bert,4,9,2,16,9067.5,10365.80612244898,2266.0954356857933
resnet152,27,43,1,0,vgg19,5,21,1,0,bert,5,9,2,16,10635.0,10782.377551020409,632.532430648875
resnet152,25,51,1,0,vgg19,8,16,1,0,bert,4,11,2,32,16970.5,17175.908163265307,693.3325921970991
resnet152,13,33,1,0,vgg19,2,12,1,0,bert,3,10,2,8,13466.0,15206.163265306122,2788.800750574638
resnet152,18,27,1,0,vgg19,4,10,1,0,bert,0,6,2,8,9040.0,10184.622448979591,2159.7506399681843
resnet152,38,49,1,0,vgg19,13,19,1,0,bert,4,8,2,8,7620.5,7872.714285714285,791.3917732548842
